dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
assist2012,learner_based,irt_1pl,42,dense,R,147,528018,0.5,0.6995878928369866,0.6112410190997554
assist2012,learner_based,irt_1pl,42,medium,R,68,5677,0.5,0.5421877752333979,0.7417330629450973
assist2012,learner_based,irt_1pl,42,sparse,L,38,444,0.5,0.5563063063063063,0.7300281417299953
assist2012,learner_based,irt_1pl,42,very_sparse,I,7,11,0.5,0.4545454545454545,0.8143926373344997
assist2012,learner_based,irt_1pl,2024,dense,R,147,536699,0.5,0.6986430010117403,0.6120239557926609
assist2012,learner_based,irt_1pl,2024,medium,R,68,5597,0.5,0.549580132213686,0.7356295263292938
assist2012,learner_based,irt_1pl,2024,sparse,L,39,443,0.5,0.5869074492099323,0.7046770540528242
assist2012,learner_based,irt_1pl,2024,very_sparse,I,6,9,0.5,0.3333333333333333,0.9149452014390924
assist2012,learner_based,irt_1pl,2025,dense,R,147,521974,0.5,0.6997915604991819,0.6110706636172645
assist2012,learner_based,irt_1pl,2025,medium,R,68,6280,0.5,0.5176751592356688,0.7621299478372988
assist2012,learner_based,irt_1pl,2025,sparse,L,38,407,0.5,0.6584766584766585,0.6453399522911212
assist2012,learner_based,irt_1pl,2025,very_sparse,I,7,20,0.5,0.35,0.9012107190357742
assist2012,learner_based,dkt,42,dense,R,147,528018,0.6977559101398016,0.7189849588460999,0.5780414335979488
assist2012,learner_based,dkt,42,medium,R,68,5677,0.759269759624147,0.6885679055839352,0.7555889365684446
assist2012,learner_based,dkt,42,sparse,L,38,444,0.7259499784212582,0.6779279279279279,1.079184069857949
assist2012,learner_based,dkt,42,very_sparse,I,7,11,1.0,0.9090909090909092,0.1123530415841053
assist2012,learner_based,dkt,2024,dense,R,147,536699,0.6973109306134865,0.7192541815803644,0.5782073305101507
assist2012,learner_based,dkt,2024,medium,R,68,5597,0.7777214957426538,0.7121672324459531,0.7103323654396358
assist2012,learner_based,dkt,2024,sparse,L,39,443,0.7263976460697772,0.6862302483069977,1.14224597126927
assist2012,learner_based,dkt,2024,very_sparse,I,6,9,0.888888888888889,0.6666666666666666,0.6272694303203709
assist2012,learner_based,dkt,2025,dense,R,147,521974,0.6967753880770268,0.7190741301290869,0.5780909065369554
assist2012,learner_based,dkt,2025,medium,R,68,6280,0.7670902794568936,0.6923566878980891,0.7249207258199534
assist2012,learner_based,dkt,2025,sparse,L,38,407,0.7494228497798776,0.7321867321867321,0.9877469174663333
assist2012,learner_based,dkt,2025,very_sparse,I,7,20,0.8461538461538461,0.85,0.7592265178786495
assist2012,learner_based,simplekt,42,dense,R,147,528018,0.6823690269501486,0.6995651663390263,0.6970703604619257
assist2012,learner_based,simplekt,42,medium,R,68,5677,0.7514731136907007,0.6908578474546415,0.8064275545691442
assist2012,learner_based,simplekt,42,sparse,L,38,444,0.7450831295341046,0.7072072072072072,1.0676522205392605
assist2012,learner_based,simplekt,42,very_sparse,I,7,11,0.8333333333333334,0.7272727272727273,0.7608206191756905
assist2012,learner_based,simplekt,2024,dense,R,147,536699,0.6786561173641534,0.6951102945971578,0.6965913290846362
assist2012,learner_based,simplekt,2024,medium,R,68,5597,0.7715615358943264,0.7025192067178846,0.7535473563977677
assist2012,learner_based,simplekt,2024,sparse,L,39,443,0.7027112232030265,0.6817155756207675,1.2357167935456694
assist2012,learner_based,simplekt,2024,very_sparse,I,6,9,1.0,0.8888888888888888,0.2427524351473932
assist2012,learner_based,simplekt,2025,dense,R,147,521974,0.6820134562081691,0.6986784782383797,0.6948905927540948
assist2012,learner_based,simplekt,2025,medium,R,68,6280,0.7527385483847874,0.6878980891719745,0.7966873982144849
assist2012,learner_based,simplekt,2025,sparse,L,38,407,0.725169118436594,0.7027027027027027,1.034569771638408
assist2012,learner_based,simplekt,2025,very_sparse,I,7,20,0.8131868131868132,0.8,0.5466958318588678
assist2012,temporal,irt_1pl,42,dense,R,145,521661,0.5916959535972397,0.6928829258848179,0.6031964490857261
assist2012,temporal,irt_1pl,42,medium,R,29,4558,0.5332490785076992,0.6037735849056604,0.6796515000764624
assist2012,temporal,irt_1pl,42,sparse,R,28,3030,0.6486042123566931,0.5891089108910891,0.6788703288418103
assist2012,temporal,irt_1pl,42,very_sparse,R,43,2250,0.4641190418747243,0.5137777777777778,0.7376917940899651
assist2012,temporal,irt_1pl,2024,dense,R,145,521661,0.5920436430945212,0.6925206216297557,0.6031560578448931
assist2012,temporal,irt_1pl,2024,medium,R,29,4558,0.5362034312157464,0.6037735849056604,0.6798042182466584
assist2012,temporal,irt_1pl,2024,sparse,R,28,3030,0.6487066076621476,0.5884488448844885,0.6787795670386301
assist2012,temporal,irt_1pl,2024,very_sparse,R,43,2250,0.4647656553988574,0.5137777777777778,0.7378382306402296
assist2012,temporal,irt_1pl,2025,dense,R,145,521661,0.592041390555964,0.692399853544735,0.6031493864970766
assist2012,temporal,irt_1pl,2025,medium,R,29,4558,0.5379459415789465,0.6033347959631418,0.680054581996214
assist2012,temporal,irt_1pl,2025,sparse,R,28,3030,0.6485544110035857,0.5894389438943894,0.6797869774147024
assist2012,temporal,irt_1pl,2025,very_sparse,R,43,2250,0.4647924622409383,0.5137777777777778,0.7380305015624157
assist2012,temporal,irt_1pl,2026,dense,R,145,521661,0.5930424089234803,0.6925167877222947,0.6029787652431206
assist2012,temporal,irt_1pl,2026,medium,R,29,4558,0.5362208604203678,0.604870557261957,0.6788047213823154
assist2012,temporal,irt_1pl,2026,sparse,R,28,3030,0.6488048140687426,0.5887788778877888,0.6795191852208278
assist2012,temporal,irt_1pl,2026,very_sparse,R,43,2250,0.4641929637725836,0.5133333333333333,0.7376639217770731
assist2012,temporal,irt_1pl,2027,dense,R,145,521661,0.5916450035347429,0.6922810024134447,0.603393699174492
assist2012,temporal,irt_1pl,2027,medium,R,29,4558,0.5332667127617867,0.6031154014918824,0.6807034658987822
assist2012,temporal,irt_1pl,2027,sparse,R,28,3030,0.648465513261123,0.5874587458745875,0.6798149333557646
assist2012,temporal,irt_1pl,2027,very_sparse,R,43,2250,0.4649638635645463,0.5142222222222222,0.7379548505504164
assist2012,temporal,dkt,42,dense,R,145,521661,0.6619193965278228,0.6942458799871948,0.6256443802774595
assist2012,temporal,dkt,42,medium,R,29,4558,0.5637103044738513,0.5432207108380869,1.1555974911980698
assist2012,temporal,dkt,42,sparse,R,28,3030,0.6244382221196201,0.5742574257425742,1.3583734258826832
assist2012,temporal,dkt,42,very_sparse,R,43,2250,0.5132348628667562,0.5035555555555555,1.0516216833084533
assist2012,temporal,dkt,2024,dense,R,145,521661,0.6639227233096918,0.6948861425331777,0.6246635306970459
assist2012,temporal,dkt,2024,medium,R,29,4558,0.5585340357507845,0.5440982887231242,1.1693290751024836
assist2012,temporal,dkt,2024,sparse,R,28,3030,0.6279415378657839,0.5610561056105611,1.2862774574074778
assist2012,temporal,dkt,2024,very_sparse,R,43,2250,0.4761658742401682,0.4675555555555555,1.249815605569002
assist2012,temporal,dkt,2025,dense,R,145,521661,0.6617184519202476,0.6930612025817533,0.630387306709956
assist2012,temporal,dkt,2025,medium,R,29,4558,0.5723364279398762,0.5677928916191312,1.1071576918038202
assist2012,temporal,dkt,2025,sparse,R,28,3030,0.6315346822208239,0.5996699669966997,1.205405569398046
assist2012,temporal,dkt,2025,very_sparse,R,43,2250,0.4766654562971303,0.4866666666666667,1.0436536850357572
assist2012,temporal,dkt,2026,dense,R,145,521661,0.6616380876248228,0.6942554647558472,0.6289517744495441
assist2012,temporal,dkt,2026,medium,R,29,4558,0.5525729401960929,0.5368582711715665,1.171045628082042
assist2012,temporal,dkt,2026,sparse,R,28,3030,0.5871737778654861,0.5214521452145214,1.207244534523945
